연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2024,2024-03-23,,2024-03-23,토,주말,3,12,LG,한화,잠실,서울_잠실,23750
2024,2024-03-23,,2024-03-23,토,주말,3,12,SSG,롯데,문학,인천,23000
2024,2024-03-23,,2024-03-23,토,주말,3,12,NC,두산,창원,경남_창원,17891
2024,2024-03-23,,2024-03-23,토,주말,3,12,KT,삼성,수원,경기_수원,18700
2024,2024-03-23,,2024-03-23,토,주말,3,12,KIA,키움,광주,광주,20500
2024,2024-03-24,,2024-03-24,일,주말,3,12,LG,한화,잠실,서울_잠실,23750
2024,2024-03-24,,2024-03-24,일,주말,3,12,SSG,롯데,문학,인천,23000
2024,2024-03-24,,2024-03-24,일,주말,3,12,NC,두산,창원,경남_창원,14555
2024,2024-03-24,,2024-03-24,일,주말,3,12,KT,삼성,수원,경기_수원,18700
2024,2024-03-26,,2024-03-26,화,평일,3,13,SSG,한화,문학,인천,10541
2024,2024-03-26,,2024-03-26,화,평일,3,13,KIA,롯데,광주,광주,7328
2024,2024-03-26,,2024-03-26,화,평일,3,13,KT,두산,수원,경기_수원,4378
2024,2024-03-26,,2024-03-26,화,평일,3,13,LG,삼성,잠실,서울_잠실,14229
2024,2024-03-26,,2024-03-26,화,평일,3,13,NC,키움,창원,경남_창원,2839
2024,2024-03-27,,2024-03-27,수,평일,3,13,SSG,한화,문학,인천,11005
2024,2024-03-27,,2024-03-27,수,평일,3,13,KIA,롯데,광주,광주,8672
2024,2024-03-27,,2024-03-27,수,평일,3,13,KT,두산,수원,경기_수원,5271
2024,2024-03-27,,2024-03-27,수,평일,3,13,LG,삼성,잠실,서울_잠실,18041
2024,2024-03-27,,2024-03-27,수,평일,3,13,NC,키움,창원,경남_창원,3681
2024,2024-03-28,,2024-03-28,목,평일,3,13,SSG,한화,문학,인천,11755
2024,2024-03-28,,2024-03-28,목,평일,3,13,KT,두산,수원,경기_수원,4304
2024,2024-03-28,,2024-03-28,목,평일,3,13,LG,삼성,잠실,서울_잠실,13420
2024,2024-03-29,,2024-03-29,금,평일,3,13,두산,KIA,잠실,서울_잠실,23750
2024,2024-03-29,,2024-03-29,금,평일,3,13,한화,KT,한밭,기타,12000
2024,2024-03-29,,2024-03-29,금,평일,3,13,키움,LG,고척,서울_고척,8465
2024,2024-03-29,,2024-03-29,금,평일,3,13,롯데,NC,사직,부산,21554
2024,2024-03-29,,2024-03-29,금,평일,3,13,삼성,SSG,대구,대구,21479
2024,2024-03-30,,2024-03-30,토,주말,3,13,두산,KIA,잠실,서울_잠실,23750
2024,2024-03-30,,2024-03-30,토,주말,3,13,한화,KT,한밭,기타,12000
2024,2024-03-30,,2024-03-30,토,주말,3,13,키움,LG,고척,서울_고척,13462
2024,2024-03-30,,2024-03-30,토,주말,3,13,롯데,NC,사직,부산,22754
2024,2024-03-30,,2024-03-30,토,주말,3,13,삼성,SSG,대구,대구,24000
2024,2024-03-31,,2024-03-31,일,주말,3,13,두산,KIA,잠실,서울_잠실,23750
2024,2024-03-31,,2024-03-31,일,주말,3,13,한화,KT,한밭,기타,12000
2024,2024-03-31,,2024-03-31,일,주말,3,13,키움,LG,고척,서울_고척,11822
2024,2024-03-31,,2024-03-31,일,주말,3,13,롯데,NC,사직,부산,21578
2024,2024-03-31,,2024-03-31,일,주말,3,13,삼성,SSG,대구,대구,22886
2024,2024-04-02,,2024-04-02,화,평일,4,14,KT,KIA,수원,경기_수원,9682
2024,2024-04-02,,2024-04-02,화,평일,4,14,한화,롯데,한밭,기타,12000
2024,2024-04-02,,2024-04-02,화,평일,4,14,LG,NC,잠실,서울_잠실,11845
2024,2024-04-02,,2024-04-02,화,평일,4,14,SSG,두산,문학,인천,12379
2024,2024-04-02,,2024-04-02,화,평일,4,14,삼성,키움,대구,대구,8541
2024,2024-04-03,,2024-04-03,수,평일,4,14,KT,KIA,수원,경기_수원,8050
2024,2024-04-03,,2024-04-03,수,평일,4,14,LG,NC,잠실,서울_잠실,10239
2024,2024-04-03,,2024-04-03,수,평일,4,14,SSG,두산,문학,인천,12128
2024,2024-04-04,,2024-04-04,목,평일,4,14,KT,KIA,수원,경기_수원,10722
2024,2024-04-04,,2024-04-04,목,평일,4,14,한화,롯데,한밭,기타,12000
2024,2024-04-04,,2024-04-04,목,평일,4,14,LG,NC,잠실,서울_잠실,11406
2024,2024-04-04,,2024-04-04,목,평일,4,14,SSG,두산,문학,인천,14249
2024,2024-04-04,,2024-04-04,목,평일,4,14,삼성,키움,대구,대구,8193
2024,2024-04-05,,2024-04-05,금,평일,4,14,키움,한화,고척,서울_고척,16000
2024,2024-04-05,,2024-04-05,금,평일,4,14,LG,KT,잠실,서울_잠실,13818
2024,2024-04-05,,2024-04-05,금,평일,4,14,롯데,두산,사직,부산,12289
2024,2024-04-05,,2024-04-05,금,평일,4,14,NC,SSG,창원,경남_창원,5452
2024,2024-04-05,,2024-04-05,금,평일,4,14,KIA,삼성,광주,광주,14233
2024,2024-04-06,,2024-04-06,토,주말,4,14,키움,한화,고척,서울_고척,16000
2024,2024-04-06,,2024-04-06,토,주말,4,14,LG,KT,잠실,서울_잠실,21824
2024,2024-04-06,,2024-04-06,토,주말,4,14,롯데,두산,사직,부산,19208
2024,2024-04-06,,2024-04-06,토,주말,4,14,NC,SSG,창원,경남_창원,11064
2024,2024-04-06,,2024-04-06,토,주말,4,14,KIA,삼성,광주,광주,20500
2024,2024-04-07,,2024-04-07,일,주말,4,14,키움,한화,고척,서울_고척,16000
2024,2024-04-07,,2024-04-07,일,주말,4,14,LG,KT,잠실,서울_잠실,19249
2024,2024-04-07,,2024-04-07,일,주말,4,14,롯데,두산,사직,부산,16755
2024,2024-04-07,,2024-04-07,일,주말,4,14,NC,SSG,창원,경남_창원,8861
2024,2024-04-07,,2024-04-07,일,주말,4,14,KIA,삼성,광주,광주,20500
2024,2024-04-09,,2024-04-09,화,평일,4,15,두산,한화,잠실,서울_잠실,23598
2024,2024-04-09,,2024-04-09,화,평일,4,15,NC,KT,창원,경남_창원,4918
2024,2024-04-09,,2024-04-09,화,평일,4,15,KIA,LG,광주,광주,11817
2024,2024-04-09,,2024-04-09,화,평일,4,15,롯데,삼성,사직,부산,15076
2024,2024-04-09,,2024-04-09,화,평일,4,15,SSG,키움,문학,인천,9468
2024,2024-04-10,,2024-04-10,수,평일,4,15,두산,한화,잠실,서울_잠실,23750
2024,2024-04-10,,2024-04-10,수,평일,4,15,NC,KT,창원,경남_창원,9895
2024,2024-04-10,,2024-04-10,수,평일,4,15,KIA,LG,광주,광주,20500
2024,2024-04-10,,2024-04-10,수,평일,4,15,롯데,삼성,사직,부산,22758
2024,2024-04-10,,2024-04-10,수,평일,4,15,SSG,키움,문학,인천,20511
2024,2024-04-11,,2024-04-11,목,평일,4,15,두산,한화,잠실,서울_잠실,22157
2024,2024-04-11,,2024-04-11,목,평일,4,15,NC,KT,창원,경남_창원,3311
2024,2024-04-11,,2024-04-11,목,평일,4,15,KIA,LG,광주,광주,11475
2024,2024-04-11,,2024-04-11,목,평일,4,15,롯데,삼성,사직,부산,11628
2024,2024-04-11,,2024-04-11,목,평일,4,15,SSG,키움,문학,인천,7250
2024,2024-04-12,,2024-04-12,금,평일,4,15,한화,KIA,한밭,기타,12000
2024,2024-04-12,,2024-04-12,금,평일,4,15,두산,LG,잠실,서울_잠실,19916
2024,2024-04-12,,2024-04-12,금,평일,4,15,키움,롯데,고척,서울_고척,8838
2024,2024-04-12,,2024-04-12,금,평일,4,15,삼성,NC,대구,대구,13104
2024,2024-04-12,,2024-04-12,금,평일,4,15,KT,SSG,수원,경기_수원,6912
2024,2024-04-13,,2024-04-13,토,주말,4,15,한화,KIA,한밭,기타,12000
2024,2024-04-13,,2024-04-13,토,주말,4,15,두산,LG,잠실,서울_잠실,23750
2024,2024-04-13,,2024-04-13,토,주말,4,15,키움,롯데,고척,서울_고척,14197
2024,2024-04-13,,2024-04-13,토,주말,4,15,삼성,NC,대구,대구,24000
2024,2024-04-13,,2024-04-13,토,주말,4,15,KT,SSG,수원,경기_수원,13995
2024,2024-04-14,,2024-04-14,일,주말,4,15,한화,KIA,한밭,기타,12000
2024,2024-04-14,,2024-04-14,일,주말,4,15,두산,LG,잠실,서울_잠실,22586
2024,2024-04-14,,2024-04-14,일,주말,4,15,키움,롯데,고척,서울_고척,12333
2024,2024-04-14,,2024-04-14,일,주말,4,15,삼성,NC,대구,대구,20667
2024,2024-04-14,,2024-04-14,일,주말,4,15,KT,SSG,수원,경기_수원,11280
2024,2024-04-16,,2024-04-16,화,평일,4,16,NC,한화,창원,경남_창원,4658
2024,2024-04-16,,2024-04-16,화,평일,4,16,SSG,KIA,문학,인천,12712
2024,2024-04-16,,2024-04-16,화,평일,4,16,키움,KT,고척,서울_고척,2877
2024,2024-04-16,,2024-04-16,화,평일,4,16,LG,롯데,잠실,서울_잠실,16635
2024,2024-04-16,,2024-04-16,화,평일,4,16,삼성,두산,대구,대구,7793
2024,2024-04-17,,2024-04-17,수,평일,4,16,NC,한화,창원,경남_창원,9921
2024,2024-04-17,,2024-04-17,수,평일,4,16,SSG,KIA,문학,인천,16062
2024,2024-04-17,,2024-04-17,수,평일,4,16,키움,KT,고척,서울_고척,3272
2024,2024-04-17,,2024-04-17,수,평일,4,16,LG,롯데,잠실,서울_잠실,16509
2024,2024-04-17,,2024-04-17,수,평일,4,16,삼성,두산,대구,대구,8393
2024,2024-04-18,,2024-04-18,목,평일,4,16,SSG,KIA,문학,인천,14263
2024,2024-04-18,,2024-04-18,목,평일,4,16,키움,KT,고척,서울_고척,2901
2024,2024-04-18,,2024-04-18,목,평일,4,16,LG,롯데,잠실,서울_잠실,18200
2024,2024-04-18,,2024-04-18,목,평일,4,16,삼성,두산,대구,대구,8697
2024,2024-04-19,,2024-04-19,금,평일,4,16,롯데,KT,사직,부산,10636
2024,2024-04-19,,2024-04-19,금,평일,4,16,SSG,LG,문학,인천,14097
2024,2024-04-19,,2024-04-19,금,평일,4,16,KIA,NC,광주,광주,16889
2024,2024-04-19,,2024-04-19,금,평일,4,16,한화,삼성,한밭,기타,12000
2024,2024-04-19,,2024-04-19,금,평일,4,16,두산,키움,잠실,서울_잠실,10649
2024,2024-04-20,,2024-04-20,토,주말,4,16,KIA,NC,광주,광주,17462
2024,2024-04-20,,2024-04-20,토,주말,4,16,한화,삼성,한밭,기타,12000
2024,2024-04-21,,2024-04-21,일,주말,4,16,롯데,KT,사직,부산,14423
2024,2024-04-21,,2024-04-21,일,주말,4,16,롯데,KT,사직,부산,7582
2024,2024-04-21,,2024-04-21,일,주말,4,16,SSG,LG,문학,인천,19858
2024,2024-04-21,,2024-04-21,일,주말,4,16,SSG,LG,문학,인천,9656
2024,2024-04-21,,2024-04-21,일,주말,4,16,KIA,NC,광주,광주,20500
2024,2024-04-21,,2024-04-21,일,주말,4,16,한화,삼성,한밭,기타,12000
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,13745
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,6197
2024,2024-04-23,,2024-04-23,화,평일,4,17,KT,한화,수원,경기_수원,10887
2024,2024-04-23,,2024-04-23,화,평일,4,17,키움,KIA,고척,서울_고척,10205
2024,2024-04-23,,2024-04-23,화,평일,4,17,삼성,LG,대구,대구,7494
2024,2024-04-23,,2024-04-23,화,평일,4,17,두산,NC,잠실,서울_잠실,5664
2024,2024-04-24,,2024-04-24,수,평일,4,17,KT,한화,수원,경기_수원,12538
2024,2024-04-24,,2024-04-24,수,평일,4,17,키움,KIA,고척,서울_고척,11048
2024,2024-04-24,,2024-04-24,수,평일,4,17,삼성,LG,대구,대구,10159
