날짜,요일,홈,방문,구장,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm)
2024/03/23,토,LG,한화,잠실,23750,108,서울,13.0,0.1
2024/03/23,토,SSG,롯데,문학,23000,112,인천,11.1,
2024/03/23,토,NC,두산,창원,17891,155,창원,16.7,2.4
2024/03/23,토,KT,삼성,수원,18700,119,수원,12.9,
2024/03/23,토,KIA,키움,광주,20500,156,광주,17.4,
2024/03/24,일,LG,한화,잠실,23750,108,서울,16.2,
2024/03/24,일,SSG,롯데,문학,23000,112,인천,14.7,
2024/03/24,일,NC,두산,창원,14555,155,창원,11.9,2.2
2024/03/24,일,KT,삼성,수원,18700,119,수원,15.1,
2024/03/26,화,SSG,한화,문학,10541,112,인천,6.3,11.9
2024/03/26,화,KIA,롯데,광주,7328,156,광주,8.7,23.0
2024/03/26,화,KT,두산,수원,4378,119,수원,7.0,15.7
2024/03/26,화,LG,삼성,잠실,14229,108,서울,7.4,11.5
2024/03/26,화,NC,키움,창원,2839,155,창원,8.9,12.8
2024/03/27,수,SSG,한화,문학,11005,112,인천,9.2,
2024/03/27,수,KIA,롯데,광주,8672,156,광주,10.5,
2024/03/27,수,KT,두산,수원,5271,119,수원,9.5,
2024/03/27,수,LG,삼성,잠실,18041,108,서울,10.4,
2024/03/27,수,NC,키움,창원,3681,155,창원,10.0,
2024/03/28,목,SSG,한화,문학,11755,112,인천,9.9,0.6
2024/03/28,목,KT,두산,수원,4304,119,수원,9.7,2.2
2024/03/28,목,LG,삼성,잠실,13420,108,서울,10.3,1.9
2024/03/29,금,두산K,IA,잠실,23750,108,서울,7.6,1.4
2024/03/29,금,한화,KT,한밭,12000,133,대전,9.3,0.2
2024/03/29,금,키움,LG,고척,8465,108,서울,7.6,1.4
2024/03/29,금,롯데,NC,사직,21554,159,부산,12.9,
2024/03/29,금,삼성S,SG,대구,21479,143,대구,13.1,
2024/03/30,토,두산K,IA,잠실,23750,108,서울,8.8,
2024/03/30,토,한화,KT,한밭,12000,133,대전,10.0,
2024/03/30,토,키움,LG,고척,13462,108,서울,8.8,
2024/03/30,토,롯데,NC,사직,22754,159,부산,13.7,
2024/03/30,토,삼성S,SG,대구,24000,143,대구,11.3,1.3
2024/03/31,일,두산K,IA,잠실,23750,108,서울,10.6,
2024/03/31,일,한화,KT,한밭,12000,133,대전,10.9,
2024/03/31,일,키움,LG,고척,11822,108,서울,10.6,
2024/03/31,일,롯데,NC,사직,21578,159,부산,13.1,
2024/04/02,화,KTK,IA,수원,9682,119,수원,14.3,
2024/04/02,화,한화,롯데,한밭,12000,133,대전,16.1,
2024/04/02,화,LG,NC,잠실,11845,108,서울,15.4,
2024/04/02,화,SSG,두산,문학,12379,112,인천,14.2,
2024/04/02,화,삼성,키움,대구,8541,143,대구,15.7,2.9
2024/04/03,수,KTK,IA,수원,8050,119,수원,14.7,8.5
2024/04/03,수,LG,NC,잠실,10239,108,서울,16.6,
2024/04/03,수,SSG,두산,문학,12128,112,인천,14.7,
2024/04/04,목,KTK,IA,수원,10722,119,수원,15.0,
2024/04/04,목,한화,롯데,한밭,12000,133,대전,13.4,
2024/04/04,목,LG,NC,잠실,11406,108,서울,15.5,
2024/04/04,목,SSG,두산,문학,14249,112,인천,14.9,
2024/04/04,목,삼성,키움,대구,8193,143,대구,12.4,
2024/04/05,금,키움,한화,고척,16000,108,서울,14.0,
2024/04/05,금,LG,KT,잠실,13818,108,서울,14.0,
2024/04/05,금,롯데,두산,사직,12289,159,부산,13.5,
