날짜,요일,시간,경기(원정vs홈),구장,관중수
2026/03/28,토,SSG,KIA,문학,23000
2026/03/28,토,LG,KT,잠실,23750
2026/03/28,토,삼성,롯데,대구,24000
2026/03/28,토,NC,두산,창원,18128
2026/03/28,토,한화,키움,대전,17000
2026/03/29,일,SSG,KIA,문학,23000
2026/03/29,일,LG,KT,잠실,23750
2026/03/29,일,삼성,롯데,대구,24000
2026/03/29,일,NC,두산,창원,18128
2026/03/29,일,한화,키움,대전,17000
2026/03/31,화,LG,KIA,잠실,23750
2026/03/31,화,한화,KT,대전,17000
2026/03/31,화,NC,롯데,창원,12730
2026/03/31,화,삼성,두산,대구,21489
2026/03/31,화,SSG,키움,문학,11385
2026/04/01,수,LG,KIA,잠실,23750
2026/04/01,수,한화,KT,대전,17000
2026/04/01,수,NC,롯데,창원,11875
2026/04/01,수,삼성,두산,대구,23120
2026/04/01,수,SSG,키움,문학,12921
2026/04/02,목,LG,KIA,잠실,23750
2026/04/02,목,한화,KT,대전,17000
2026/04/02,목,NC,롯데,창원,13176
2026/04/02,목,삼성,두산,대구,23617
2026/04/02,목,SSG,키움,문학,11314
2026/04/03,금,두산,한화,잠실,23750
2026/04/03,금,키움,LG,고척,14150
2026/04/03,금,KIA,NC,광주,20500
2026/04/03,금,롯데,SSG,사직,23200
2026/04/03,금,KT,삼성,수원,18700
2026/04/04,토,두산,한화,잠실,23750
2026/04/04,토,키움,LG,고척,16000
2026/04/04,토,KIA,NC,광주,20500
2026/04/04,토,롯데,SSG,사직,23200
2026/04/04,토,KT,삼성,수원,18700
2026/04/05,일,두산,한화,잠실,23750
2026/04/05,일,키움,LG,고척,15331
2026/04/05,일,KIA,NC,광주,20500
2026/04/05,일,롯데,SSG,사직,23200
2026/04/05,일,KT,삼성,수원,18700
2026/04/07,화,SSG,한화,문학,18637
2026/04/07,화,롯데,KT,사직,15611
2026/04/07,화,NC,LG,창원,6855
2026/04/07,화,KIA,삼성,광주,12675
2026/04/07,화,두산,키움,잠실,14435
2026/04/08,수,SSG,한화,문학,19836
2026/04/08,수,롯데,KT,사직,16080
2026/04/08,수,NC,LG,창원,8180
2026/04/08,수,KIA,삼성,광주,12672
2026/04/08,수,두산,키움,잠실,15461
2026/04/10,금,한화,KIA,대전,17000
2026/04/10,금,키움,롯데,고척,16000
2026/04/10,금,삼성,NC,대구,24000
2026/04/10,금,KT,두산,수원,11337
2026/04/10,금,LG,SSG,잠실,23122
2026/04/11,토,한화,KIA,대전,17000
2026/04/11,토,키움,롯데,고척,16000
2026/04/11,토,삼성,NC,대구,24000
2026/04/11,토,KT,두산,수원,18700
2026/04/11,토,LG,SSG,잠실,23750
2026/04/12,일,한화,KIA,대전,17000
2026/04/12,일,키움,롯데,고척,16000
2026/04/12,일,삼성,NC,대구,24000
2026/04/12,일,KT,두산,수원,16488
2026/04/12,일,LG,SSG,잠실,23750
2026/04/14,화,NC,KT,창원,4730
2026/04/14,화,LG,롯데,잠실,23750
2026/04/14,화,SSG,두산,문학,12752
2026/04/14,화,한화,삼성,대전,17000
2026/04/14,화,KIA,키움,광주,9930
2026/04/15,수,NC,KT,창원,5902
2026/04/15,수,LG,롯데,잠실,23750
2026/04/15,수,SSG,두산,문학,13755
2026/04/15,수,한화,삼성,대전,17000
2026/04/15,수,KIA,키움,광주,10981
2026/04/16,목,NC,KT,창원,5921
2026/04/16,목,LG,롯데,잠실,23750
2026/04/16,목,SSG,두산,문학,13786
2026/04/16,목,한화,삼성,대전,17000
2026/04/16,목,KIA,키움,광주,12713
2026/04/17,금,두산,KIA,잠실,23750
2026/04/17,금,KT,키움,수원,7479
2026/04/18,토,롯데,한화,사직,23200
2026/04/18,토,두산,KIA,잠실,23750
2026/04/18,토,삼성,LG,대구,24000
2026/04/18,토,NC,SSG,창원,14888
2026/04/18,토,KT,키움,수원,13721
2026/04/19,일,롯데,한화,사직,23200
2026/04/19,일,두산,KIA,잠실,23750
2026/04/19,일,삼성,LG,대구,24000
2026/04/19,일,NC,SSG,창원,13677
2026/04/19,일,KT,키움,수원,10403
2026/04/21,화,LG,한화,잠실,23750
2026/04/21,화,KT,KIA,수원,13143
2026/04/21,화,키움,NC,고척,5531
2026/04/21,화,롯데,두산,사직,15942
2026/04/21,화,삼성,SSG,대구,23420
2026/04/22,수,LG,한화,잠실,23750
2026/04/22,수,KT,KIA,수원,14428
2026/04/22,수,키움,NC,고척,5793
2026/04/22,수,롯데,두산,사직,19425
2026/04/22,수,삼성,SSG,대구,23539
2026/04/23,목,LG,한화,잠실,23750
2026/04/23,목,KT,KIA,수원,15561
2026/04/23,목,키움,NC,고척,6176
2026/04/23,목,롯데,두산,사직,17334
2026/04/23,목,삼성,SSG,대구,23524
2026/04/24,금,SSG,KT,문학,15569
2026/04/24,금,두산,LG,잠실,23750
2026/04/24,금,KIA,롯데,광주,20500
2026/04/24,금,한화,NC,대전,17000
2026/04/24,금,키움,삼성,고척,16000
2026/04/25,토,SSG,KT,문학,22655
2026/04/25,토,두산,LG,잠실,23750
2026/04/25,토,KIA,롯데,광주,20500
2026/04/25,토,한화,NC,대전,17000
2026/04/25,토,키움,삼성,고척,16000
2026/04/26,일,SSG,KT,문학,19484
2026/04/26,일,두산,LG,잠실,23750
2026/04/26,일,KIA,롯데,광주,20500
2026/04/26,일,한화,NC,대전,17000
2026/04/26,일,키움,삼성,고척,16000
2026/04/28,화,NC,KIA,창원,8781
2026/04/28,화,KT,LG,수원,12312
2026/04/28,화,한화,SSG,대전,16651
2026/04/28,화,두산,삼성,잠실,23750
2026/04/28,화,롯데,키움,사직,19704
2026/04/29,수,NC,KIA,창원,11824
2026/04/29,수,KT,LG,수원,13711
2026/04/29,수,한화,SSG,대전,17000
2026/04/29,수,두산,삼성,잠실,23750
2026/04/29,수,롯데,키움,사직,19362
2026/04/30,목,NC,KIA,창원,16616
2026/04/30,목,KT,LG,수원,18700
2026/04/30,목,한화,SSG,대전,17000
2026/04/30,목,두산,삼성,잠실,23750
2026/04/30,목,롯데,키움,사직,23200
2026/05/01,금,삼성,한화,대구,24000
2026/05/01,금,KIA,KT,광주,20500
2026/05/01,금,SSG,롯데,문학,23000
2026/05/01,금,LG,NC,잠실,23750
2026/05/01,금,키움,두산,고척,16000
2026/05/02,토,삼성,한화,대구,24000
2026/05/02,토,KIA,KT,광주,20500
2026/05/02,토,SSG,롯데,문학,23000
2026/05/02,토,LG,NC,잠실,23750
2026/05/02,토,키움,두산,고척,16000
2026/05/03,일,삼성,한화,대구,24000
2026/05/03,일,KIA,KT,광주,20500
2026/05/03,일,SSG,롯데,문학,23000
2026/05/03,일,LG,NC,잠실,23633
2026/05/03,일,키움,두산,고척,16000
