연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2025,2025-03-22,,2025-03-22,토,주말,3,12,KT,한화,수원,경기_수원,18700,119,수원,,,,55.3
2025,2025-03-22,,2025-03-22,토,주말,3,12,LG,롯데,잠실,서울_잠실,23750,108,서울,,,,53.8
2025,2025-03-22,,2025-03-22,토,주말,3,12,KIA,NC,광주,광주,20500,156,광주,,,,53.8
2025,2025-03-22,,2025-03-22,토,주말,3,12,SSG,두산,문학,인천,23000,112,인천,,,,63.3
2025,2025-03-22,,2025-03-22,토,주말,3,12,삼성,키움,대구,대구,24000,143,대구,,,,26.3
2025,2025-03-23,,2025-03-23,일,주말,3,12,KT,한화,수원,경기_수원,18700,119,수원,,,,52.1
2025,2025-03-23,,2025-03-23,일,주말,3,12,LG,롯데,잠실,서울_잠실,23750,108,서울,,,,49.0
2025,2025-03-23,,2025-03-23,일,주말,3,12,KIA,NC,광주,광주,20500,156,광주,,,,46.8
2025,2025-03-23,,2025-03-23,일,주말,3,12,SSG,두산,문학,인천,23000,112,인천,,,,59.0
2025,2025-03-23,,2025-03-23,일,주말,3,12,삼성,키움,대구,대구,24000,143,대구,,,,33.0
2025,2025-03-25,,2025-03-25,화,평일,3,13,LG,한화,잠실,서울_잠실,23750,108,서울,,,,63.5
2025,2025-03-25,,2025-03-25,화,평일,3,13,SSG,롯데,문학,인천,13860,112,인천,,,,75.3
2025,2025-03-25,,2025-03-25,화,평일,3,13,삼성,NC,대구,대구,21024,143,대구,,,,36.9
2025,2025-03-25,,2025-03-25,화,평일,3,13,KT,두산,수원,경기_수원,8141,119,수원,,,,66.5
2025,2025-03-25,,2025-03-25,화,평일,3,13,KIA,키움,광주,광주,15053,156,광주,,,,55.5
2025,2025-03-26,,2025-03-26,수,평일,3,13,LG,한화,잠실,서울_잠실,23750,108,서울,,,,46.4
2025,2025-03-26,,2025-03-26,수,평일,3,13,SSG,롯데,문학,인천,14855,112,인천,,,,51.1
2025,2025-03-26,,2025-03-26,수,평일,3,13,삼성,NC,대구,대구,24000,143,대구,,,,34.9
2025,2025-03-26,,2025-03-26,수,평일,3,13,KT,두산,수원,경기_수원,9607,119,수원,,,,48.3
2025,2025-03-26,,2025-03-26,수,평일,3,13,KIA,키움,광주,광주,17780,156,광주,,,,45.3
2025,2025-03-27,,2025-03-27,목,평일,3,13,LG,한화,잠실,서울_잠실,23750,108,서울,,,,65.1
2025,2025-03-27,,2025-03-27,목,평일,3,13,SSG,롯데,문학,인천,14155,112,인천,,,,72.6
2025,2025-03-27,,2025-03-27,목,평일,3,13,삼성,NC,대구,대구,20781,143,대구,,,,63.6
2025,2025-03-27,,2025-03-27,목,평일,3,13,KT,두산,수원,경기_수원,9024,119,수원,,,,71.1
2025,2025-03-27,,2025-03-27,목,평일,3,13,KIA,키움,광주,광주,12288,156,광주,,,,72.8
2025,2025-03-28,,2025-03-28,금,평일,3,13,한화,KIA,대전,대전,17000,133,대전,,,,42.1
2025,2025-03-28,,2025-03-28,금,평일,3,13,롯데,KT,사직,부산,22665,159,부산,,,,63.8
2025,2025-03-28,,2025-03-28,금,평일,3,13,NC,LG,창원,경남_창원,15510,155,창원,,,,40.9
2025,2025-03-28,,2025-03-28,금,평일,3,13,키움,SSG,고척,서울_고척,11002,108,서울,,,,41.6
2025,2025-03-28,,2025-03-28,금,평일,3,13,두산,삼성,잠실,서울_잠실,23750,108,서울,,,,41.6
2025,2025-03-29,,2025-03-29,토,주말,3,13,한화,KIA,대전,대전,17000,133,대전,,,,42.6
2025,2025-03-29,,2025-03-29,토,주말,3,13,롯데,KT,사직,부산,22665,159,부산,,,,25.0
2025,2025-03-29,,2025-03-29,토,주말,3,13,NC,LG,창원,경남_창원,17943,155,창원,,,,27.1
