연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-03-22,,2025-03-22,토,주말,3,12,KT,한화,수원,경기_수원,18700
2025,2025-03-22,,2025-03-22,토,주말,3,12,LG,롯데,잠실,서울_잠실,23750
2025,2025-03-22,,2025-03-22,토,주말,3,12,KIA,NC,광주,광주,20500
2025,2025-03-22,,2025-03-22,토,주말,3,12,SSG,두산,문학,인천,23000
2025,2025-03-22,,2025-03-22,토,주말,3,12,삼성,키움,대구,대구,24000
2025,2025-03-23,,2025-03-23,일,주말,3,12,KT,한화,수원,경기_수원,18700
2025,2025-03-23,,2025-03-23,일,주말,3,12,LG,롯데,잠실,서울_잠실,23750
2025,2025-03-23,,2025-03-23,일,주말,3,12,KIA,NC,광주,광주,20500
2025,2025-03-23,,2025-03-23,일,주말,3,12,SSG,두산,문학,인천,23000
2025,2025-03-23,,2025-03-23,일,주말,3,12,삼성,키움,대구,대구,24000
2025,2025-03-25,,2025-03-25,화,평일,3,13,LG,한화,잠실,서울_잠실,23750
2025,2025-03-25,,2025-03-25,화,평일,3,13,SSG,롯데,문학,인천,13860
2025,2025-03-25,,2025-03-25,화,평일,3,13,삼성,NC,대구,대구,21024
2025,2025-03-25,,2025-03-25,화,평일,3,13,KT,두산,수원,경기_수원,8141
2025,2025-03-25,,2025-03-25,화,평일,3,13,KIA,키움,광주,광주,15053
2025,2025-03-26,,2025-03-26,수,평일,3,13,LG,한화,잠실,서울_잠실,23750
2025,2025-03-26,,2025-03-26,수,평일,3,13,SSG,롯데,문학,인천,14855
2025,2025-03-26,,2025-03-26,수,평일,3,13,삼성,NC,대구,대구,24000
2025,2025-03-26,,2025-03-26,수,평일,3,13,KT,두산,수원,경기_수원,9607
2025,2025-03-26,,2025-03-26,수,평일,3,13,KIA,키움,광주,광주,17780
2025,2025-03-27,,2025-03-27,목,평일,3,13,LG,한화,잠실,서울_잠실,23750
2025,2025-03-27,,2025-03-27,목,평일,3,13,SSG,롯데,문학,인천,14155
2025,2025-03-27,,2025-03-27,목,평일,3,13,삼성,NC,대구,대구,20781
2025,2025-03-27,,2025-03-27,목,평일,3,13,KT,두산,수원,경기_수원,9024
2025,2025-03-27,,2025-03-27,목,평일,3,13,KIA,키움,광주,광주,12288
2025,2025-03-28,,2025-03-28,금,평일,3,13,한화,KIA,대전,대전,17000
2025,2025-03-28,,2025-03-28,금,평일,3,13,롯데,KT,사직,부산,22665
2025,2025-03-28,,2025-03-28,금,평일,3,13,NC,LG,창원,경남_창원,15510
2025,2025-03-28,,2025-03-28,금,평일,3,13,키움,SSG,고척,서울_고척,11002
2025,2025-03-28,,2025-03-28,금,평일,3,13,두산,삼성,잠실,서울_잠실,23750
2025,2025-03-29,,2025-03-29,토,주말,3,13,한화,KIA,대전,대전,17000
2025,2025-03-29,,2025-03-29,토,주말,3,13,롯데,KT,사직,부산,22665
2025,2025-03-29,,2025-03-29,토,주말,3,13,NC,LG,창원,경남_창원,17943
