기준일,기록실_스냅샷일,시즌연도,시리즈,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈성적,방문성적,페이지기준문구
2024-03-23,2024-03-23,2024,정규시즌,1,LG,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,1,SSG,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,1,NC,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,1,KIA,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,1,삼성,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,6,KT,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,6,두산,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,6,롯데,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,6,한화,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1,(2024년 03월23일 기준)
2024-03-23,2024-03-23,2024,정규시즌,6,키움,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1,(2024년 03월23일 기준)
2024-03-24,2024-03-24,2024,정규시즌,1,SSG,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,1,KIA,1,1,0,0,1.0,0.5,1승0무0패,1승,1-0-0,0-0-0,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,1,삼성,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,4,LG,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,4,NC,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,4,두산,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,4,한화,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,8,KT,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,8,롯데,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2,(2024년 03월24일 기준)
2024-03-24,2024-03-24,2024,정규시즌,8,키움,1,0,1,0,0.0,1.5,0승0무1패,1패,0-0-0,0-0-1,(2024년 03월24일 기준)
2024-03-26,2024-03-26,2024,정규시즌,1,KIA,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,2,LG,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,2,SSG,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-1,0-0-0,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,2,NC,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,2,두산,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,2,삼성,3,2,1,0,0.667,0.5,2승0무1패,1패,0-0-0,2-0-1,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,2,한화,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,8,KT,3,0,3,0,0.0,2.5,0승0무3패,3패,0-0-3,0-0-0,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,8,롯데,3,0,3,0,0.0,2.5,0승0무3패,3패,0-0-0,0-0-3,(2024년 03월26일 기준)
2024-03-26,2024-03-26,2024,정규시즌,8,키움,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2,(2024년 03월26일 기준)
2024-03-27,2024-03-27,2024,정규시즌,1,KIA,3,3,0,0,1.0,0.0,3승0무0패,3승,3-0-0,0-0-0,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,2,NC,4,3,1,0,0.75,0.5,3승0무1패,2승,3-0-1,0-0-0,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,2,두산,4,3,1,0,0.75,0.5,3승0무1패,3승,0-0-0,3-0-1,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,2,한화,4,3,1,0,0.75,0.5,3승0무1패,3승,0-0-0,3-0-1,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,5,LG,4,2,1,1,0.667,1.0,2승1무1패,1승,2-1-1,0-0-0,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,5,삼성,4,2,1,1,0.667,1.0,2승1무1패,1패,0-0-0,2-1-1,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,7,SSG,4,2,2,0,0.5,1.5,2승0무2패,2패,2-0-2,0-0-0,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,8,KT,4,0,4,0,0.0,3.5,0승0무4패,4패,0-0-4,0-0-0,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,8,롯데,4,0,4,0,0.0,3.5,0승0무4패,4패,0-0-0,0-0-4,(2024년 03월27일 기준)
2024-03-27,2024-03-27,2024,정규시즌,8,키움,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-0,0-0-3,(2024년 03월27일 기준)
2024-03-28,2024-03-28,2024,정규시즌,1,KIA,3,3,0,0,1.0,0.0,3승0무0패,3승,3-0-0,0-0-0,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,2,한화,5,4,1,0,0.8,0.0,4승0무1패,4승,0-0-0,4-0-1,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,3,LG,5,3,1,1,0.75,0.5,3승1무1패,2승,3-1-1,0-0-0,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,3,NC,4,3,1,0,0.75,0.5,3승0무1패,2승,3-0-1,0-0-0,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,5,두산,5,3,2,0,0.6,1.0,3승0무2패,1패,0-0-0,3-0-2,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,6,삼성,5,2,2,1,0.5,1.5,2승1무2패,2패,0-0-0,2-1-2,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,7,SSG,5,2,3,0,0.4,2.0,2승0무3패,3패,2-0-3,0-0-0,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,8,KT,5,1,4,0,0.2,3.0,1승0무4패,1승,1-0-4,0-0-0,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,9,롯데,4,0,4,0,0.0,3.5,0승0무4패,4패,0-0-0,0-0-4,(2024년 03월28일 기준)
2024-03-28,2024-03-28,2024,정규시즌,9,키움,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-0,0-0-3,(2024년 03월28일 기준)
2024-03-29,2024-03-29,2024,정규시즌,1,KIA,4,4,0,0,1.0,0.0,4승0무0패,4승,3-0-0,1-0-0,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,2,한화,6,5,1,0,0.833,0.0,5승0무1패,5승,1-0-0,4-0-1,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,3,LG,6,4,1,1,0.8,0.5,4승1무1패,3승,3-1-1,1-0-0,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,4,NC,5,3,2,0,0.6,1.5,3승0무2패,1패,3-0-1,0-0-1,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,5,SSG,6,3,3,0,0.5,2.0,3승0무3패,1승,2-0-3,1-0-0,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,5,두산,6,3,3,0,0.5,2.0,3승0무3패,2패,0-0-1,3-0-2,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,7,삼성,6,2,3,1,0.4,2.5,2승1무3패,3패,0-0-1,2-1-2,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,8,롯데,5,1,4,0,0.2,3.5,1승0무4패,1승,1-0-0,0-0-4,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,9,KT,6,1,5,0,0.167,4.0,1승0무5패,1패,1-0-4,0-0-1,(2024년 03월29일 기준)
2024-03-29,2024-03-29,2024,정규시즌,10,키움,4,0,4,0,0.0,4.0,0승0무4패,4패,0-0-1,0-0-3,(2024년 03월29일 기준)
2024-03-30,2024-03-30,2024,정규시즌,1,한화,7,6,1,0,0.857,0.0,6승0무1패,6승,2-0-0,4-0-1,(2024년 03월30일 기준)
2024-03-30,2024-03-30,2024,정규시즌,2,KIA,5,4,1,0,0.8,1.0,4승0무1패,1패,3-0-0,1-0-1,(2024년 03월30일 기준)
2024-03-30,2024-03-30,2024,정규시즌,3,LG,7,4,2,1,0.667,1.5,4승1무2패,1패,3-1-1,1-0-1,(2024년 03월30일 기준)
2024-03-30,2024-03-30,2024,정규시즌,3,NC,6,4,2,0,0.667,1.5,4승0무2패,1승,3-0-1,1-0-1,(2024년 03월30일 기준)
2024-03-30,2024-03-30,2024,정규시즌,5,SSG,7,4,3,0,0.571,2.0,4승0무3패,2승,2-0-3,2-0-0,(2024년 03월30일 기준)
2024-03-30,2024-03-30,2024,정규시즌,5,두산,7,4,3,0,0.571,2.0,4승0무3패,1승,1-0-1,3-0-2,(2024년 03월30일 기준)
